type,mental_percent,salary,distance,hour,mental_type
0.7,0.7,750,48,5.6,1
0.7,0.7,456,24,10,1
1.1,0,1061,56,7.1,0
1.1,0,700,56,4,0
1.1,0,1050,49,3.5,0
1.1,0,700,56,2.4,0
1.1,0,1512,54,3.9,0
1.1,0,700,28,10,0
0.7,0.7,1166,54,8.1,1
0.7,0.7,600,34,5.1,1
0.9,0,750,40,4.8,0
0.7,0.7,875,56,2.7,1
0.7,0.7,456,24,3.5,1
0.8,0.2,1560,48,3.5,0
0.8,0.2,1960,21,10,0
0.8,0.2,1120,42,5.6,0
0.8,0.2,728,40,4.1,0
0.8,0.2,700,56,9.4,0
0.8,0.2,1104,48,5,0
0.7,0.7,1334,48,2.1,1
0.9,0,800,26,1.7,0
101.1,0.6,750,48,5.6,1
101.1,0.6,456,24,10,1
100.8,0.3,1061,56,7.1,0
100.8,0.3,700,56,4,0
100.8,0.3,1050,49,3.5,0
100.8,0.3,700,56,2.4,0
100.8,0.3,1512,54,3.9,0
100.8,0.3,700,28,10,0
101.2,0.9,1166,54,8.1,1
101.2,0.9,600,34,5.1,1
100.9,0.2,750,40,4.8,0
100.9,0.8,875,56,2.7,1
100.9,0.8,456,24,3.5,1
101.3,0.2,1560,48,3.5,0
101.3,0.2,1960,21,10,0
101.3,0.3,1120,42,5.6,0
101.3,0.3,728,40,4.1,0
101.3,0.2,700,56,9.4,0
101.3,0.3,1104,48,5,0
100.7,0.8,1334,48,2.1,1
100.9,0.4,800,26,1.7,0
201.1,0.7,600,34,5.1,1
200.8,0.2,750,40,4.8,0
201.3,0.8,875,56,2.7,1
201.3,0.8,456,24,3.5,1
200.8,0.1,1560,48,3.5,0
200.8,0.1,1960,21,10,0
200.8,0.1,1120,42,5.6,0
201.4,0.3,728,40,4.1,0
201.4,0.3,700,56,9.4,0
201.4,0.3,1104,48,5,0
201.2,0.7,1334,48,2.1,1
201.1,0.4,800,26,1.7,0
201.6,0.6,750,48,5.6,1
201.6,0.9,456,24,10,1
200.5,0.2,1061,56,7.1,0
300.9,0.5,1050,49,3.5,0
300.8,0.4,700,56,2.4,0
300.7,0.3,1512,54,3.9,0
300.6,0.2,700,28,10,0
300.5,0.6,1166,54,8.1,1
300.4,0.7,600,34,5.1,1
301.1,0.4,750,40,4.8,0
301.2,0.8,875,56,2.7,1
301.3,0.9,456,24,3.5,1
301.4,0.1,1560,48,3.5,0
400.9,0.6,750,48,5.6,1
400.8,0.8,456,24,10,1
400.7,0.4,1061,56,7.1,0
400.6,0.5,700,56,4,0
400.5,0.3,1050,49,3.5,0
400.4,0.2,700,56,2.4,0
400.3,0.4,1512,54,3.9,0
400.2,0.3,700,28,10,0
401.1,0.7,1166,54,8.1,1
401.2,0.8,600,34,5.1,1
401.3,0.4,750,40,4.8,0
401.4,0.9,875,56,2.7,1
401.5,0.7,456,24,3.5,1
401.6,0.3,1560,48,3.5,0
401.7,0.2,1960,21,10,0
401.5,0.4,1120,42,5.6,0
500.9,0.1,1050,49,3.5,0
500.8,0.3,700,56,2.4,0
500.6,0.4,1512,54,3.9,0
500.7,0.4,700,28,10,0
500.6,0.7,1166,54,8.1,1
500.5,0.8,600,34,5.1,1
500.7,0.5,750,40,4.8,0
500.7,0.8,875,56,2.7,1
500.6,0.9,456,24,3.5,1
501.3,0.2,1560,48,3.5,0
501.6,0.3,1960,21,10,0
501.2,0.2,1120,42,5.6,0
501.4,0.1,728,40,4.1,0
501.9,0.5,700,56,9.4,0
501.6,0.4,1104,48,5,0
501.5,0.7,1334,48,2.1,1
501.1,0.4,800,26,1.7,0
501.3,0.6,750,48,5.6,1
501.7,0.8,456,24,10,1
